id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
2873212765,2016-04-02,Weekend,13,Sedentary User,2214,2214,0,0,1243,1559,,,,86.32
2873212765,2016-04-03,Weekend,13,Moderate Mover,7640,7640,3,15,1107,1845,,,,76.88
2873212765,2016-04-04,Weekday,14,Moderate Mover,9713,9713,6,24,1055,2046,,,,73.26
2873212765,2016-04-05,Weekday,14,Sedentary User,8432,8432,0,0,1066,1953,,,,74.03
2873212765,2016-04-06,Weekday,14,Sedentary User,7350,7350,0,0,1058,1910,,,,73.47
2873212765,2016-04-07,Weekday,14,Moderate Mover,9353,9353,5,17,1055,2035,,,,73.26
2873212765,2016-04-08,Weekday,14,Sedentary User,7157,7157,0,0,1060,1944,,,,73.61
2873212765,2016-04-09,Weekend,14,Moderate Mover,14103,14103,46,8,1098,2257,,,,76.25
2873212765,2016-04-10,Weekend,14,Moderate Mover,5290,5290,1,8,1180,1724,,,,81.94
2873212765,2016-04-11,Weekday,15,Sedentary User,7497,7497,0,0,882,1741,,,,61.25
2873212765,2016-04-12,Weekday,15,Sedentary User,0,,0,0,1440,0,,,,100
2891001357,2016-03-29,Weekday,13,Sedentary User,0,,0,0,1440,1920,,,,100
2891001357,2016-03-30,Weekday,13,Sedentary User,0,,0,0,1440,1920,,,,100
2891001357,2016-03-31,Weekday,13,Sedentary User,0,,0,0,1440,1920,,,,100
2891001357,2016-04-01,Weekday,13,Sedentary User,0,,0,660,780,4562,,,,54.17
2891001357,2016-04-02,Weekend,13,Sedentary User,4126,4126,0,0,720,2881,,,,50
2891001357,2016-04-03,Weekend,13,Sedentary User,0,,0,0,1440,1920,,,,100
2891001357,2016-04-04,Weekday,14,Sedentary User,0,,0,0,1440,1920,,,,100
2891001357,2016-04-05,Weekday,14,Sedentary User,2063,2063,0,0,99,1144,,,,6.88
3372868164,2016-04-01,Weekday,13,Sedentary User,5785,5785,0,0,1129,1852,,,,78.4
3372868164,2016-04-02,Weekend,13,Moderate Mover,7625,7625,24,1,1074,2069,,,,74.58
3372868164,2016-04-03,Weekend,13,Sedentary User,4706,4706,0,0,1141,1816,,,,79.24
3372868164,2016-04-04,Weekday,14,Moderate Mover,5861,5861,20,7,1180,1878,,,,81.94
3372868164,2016-04-05,Weekday,14,Sedentary User,4460,4460,0,0,1192,1787,,,,82.78
3372868164,2016-04-06,Weekday,14,Moderate Mover,6406,6406,17,4,1094,2010,,,,75.97
3372868164,2016-04-07,Weekday,14,Moderate Mover,7392,7392,14,9,1085,2038,,,,75.35
