id,activity_date,day,day_type,week_number,movement_quality,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,
3977333714,2016-04-02,Saturday,Weekend,13,0.000787608,Low Intensity Mover,7618,7618,0,6,302,842,1490,
3977333714,2016-04-03,Sunday,Weekend,13,0.0044317,Moderate Mover,11508,11508,29,22,282,748,1630,
3977333714,2016-04-04,Monday,Weekday,14,0.004940132,Moderate Mover,11943,11943,16,43,297,710,1648,
3977333714,2016-04-05,Tuesday,Weekday,14,0.004714297,Moderate Mover,12303,12303,26,32,291,605,1649,
3977333714,2016-04-06,Wednesday,Weekday,14,0.004473258,Moderate Mover,15425,15425,24,45,331,614,1783,
3977333714,2016-04-07,Thursday,Weekday,14,0.009617668,High Efficiency Mover,8422,8422,0,81,139,815,1431,
3977333714,2016-04-08,Friday,Weekday,14,0.009876785,High Efficiency Mover,10226,10226,0,101,174,685,1524,
3977333714,2016-04-09,Saturday,Weekend,14,0.004868683,Moderate Mover,14583,14583,35,36,254,697,1697,
3977333714,2016-04-10,Sunday,Weekend,14,0.006437168,High Efficiency Mover,3573,3573,15,8,99,866,1232,
3977333714,2016-04-11,Monday,Weekday,15,0.000643501,Low Intensity Mover,3108,3108,1,1,129,894,1223,
3977333714,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,759,759,0,0,17,187,182,
4020332650,2016-03-12,Saturday,Weekend,10,0,Sedentary User,5543,5543,0,0,254,757,2990,
4020332650,2016-03-13,Sunday,Weekend,10,0,Sedentary User,3226,3226,0,0,136,771,2480,
4020332650,2016-03-14,Monday,Weekday,11,0,Sedentary User,3023,3023,0,0,145,1005,2570,
4020332650,2016-03-15,Tuesday,Weekday,11,0.001693193,Moderate Mover,5906,5906,0,10,215,874,3016,
4020332650,2016-03-16,Wednesday,Weekday,11,0.003124249,Moderate Mover,12483,12483,25,14,309,599,3830,
4020332650,2016-03-17,Thursday,Weekday,11,0,Sedentary User,8940,8940,0,0,47,986,3706,
4020332650,2016-03-18,Friday,Weekday,11,0,Sedentary User,368,368,0,0,0,1440,2024,
4020332650,2016-03-19,Saturday,Weekend,11,0,Sedentary User,5702,5702,0,0,0,1440,2980,
4020332650,2016-03-20,Sunday,Weekend,11,0,Sedentary User,10330,10330,0,0,0,1440,3728,
4020332650,2016-03-21,Monday,Weekday,12,0,Sedentary User,8778,8778,0,0,0,1440,3348,
4020332650,2016-03-22,Tuesday,Weekday,12,0,Sedentary User,6662,6662,0,0,0,1440,3162,
4020332650,2016-03-23,Wednesday,Weekday,12,0,Sedentary User,6309,6309,0,0,0,1440,3140,
4020332650,2016-03-24,Thursday,Weekday,12,0,Sedentary User,1951,1951,0,0,0,1440,1980,
4020332650,2016-03-25,Friday,Weekday,12,0,Sedentary User,5563,5563,0,0,0,1440,3681,
